code_postal,code_insee
1000,01053
1000,01344
1090,01165
1090,01169
1090,01183
1090,01225
1090,01258
1090,01263
1100,01011
1100,01014
1100,01031
1100,01171
1100,01181
1100,01237
1100,01283
1110,01012
1110,01060
1110,01080
1110,01121
1110,01185
1110,01311
1120,01049
1120,01142
1120,01262
1120,01276
1120,01297
1120,01342
1120,01418
1130,01035
1130,01087
1130,01152
1130,01174
1130,01204
1130,01269
1130,01274
1130,01298
1130,01357
1140,01167
1140,01188
1140,01252
1140,01295
1140,01348
1140,01351
1140,01420
1140,01428
1150,01047
1150,01099
1150,01202
1150,01213
1150,01366
1150,01386
1150,01390
1150,01396
1150,01411
1150,01431
1150,01444
1160,01151
1160,01273
1160,01304
1160,01314
1160,01374
1160,01425
1160,01430
1170,01071
1170,01103
1170,01135
1170,01153
1170,01173
1170,01247
1170,01399
1170,01436
1190,01016
1190,01050
1190,01057
1190,01094
1190,01102
1190,01175
1190,01284
1190,01305
1190,01323
1190,01337
1190,01352
1190,01402
1200,01033
1200,01044
1200,01104
1200,01114
1200,01189
1200,01209
1200,01257
1200,01448
1200,74109
1210,01160
1210,01281
1210,01435
1220,01143
1220,01180
1220,01397
1230,01013
1230,01017
1230,01076
1230,01107
1230,01111
1230,01155
1230,01277
1230,01279
1230,01384
1230,01416
1230,01421
1240,01069
1240,01085
1240,01145
1240,01211
1240,01235
1240,01335
1240,01359
1240,01383
1250,01072
1250,01095
1250,01106
1250,01125
1250,01150
1250,01177
1250,01184
1250,01195
1250,01197
1250,01245
1250,01254
1250,01309
1250,01317
1250,01321
1250,01369
1250,01408
1250,01422
1250,01447
1260,01036
1260,01079
1260,01187
1260,01330
1260,01453
1270,01029
1270,01108
1270,01147
1270,01296
1270,01391
1270,01432
1270,01445
1280,01313
1290,01042
1290,01046
1290,01123
1290,01134
1290,01136
1290,01179
1290,01203
1290,01306
1290,01334
1290,01365
1300,01006
1300,01009
1300,01015
1300,01034
1300,01058
1300,01061
1300,01098
1300,01110
1300,01116
1300,01117
1300,01141
1300,01193
1300,01227
1300,01234
1300,01239
1300,01268
1300,01286
1300,01294
1300,01310
1300,01338
1300,01358
1300,01454
1310,01065
1310,01115
1310,01140
1310,01259
1310,01264
1310,01301
1310,01375
1310,01385
1320,01074
1320,01090
1320,01092
1320,01129
1320,01381
1320,01449
1330,01005
1330,01045
1330,01052
1330,01207
1330,01299
1330,01382
1330,01434
1330,01443
1340,01024
1340,01040
1340,01130
1340,01163
1340,01196
1340,01229
1340,01236
1340,01266
1340,01346
1340,01387
1350,01010
1350,01039
1350,01073
1350,01133
1350,01138
1350,01162
1350,01208
1350,01302
1350,01456
1360,01027
1360,01032
1360,01062
1360,01224
1370,01038
1370,01127
1370,01241
1370,01350
1370,01426
1380,01025
1380,01026
1380,01332
1380,01343
1380,01355
1390,01105
1390,01248
1390,01261
1390,01318
1390,01333
1390,01362
1390,01371
1390,01424
1400,01001
1400,01084
1400,01093
1400,01113
1400,01146
1400,01272
1400,01328
1400,01356
1400,01393
1400,01412
1410,01081
1410,01104
1410,01210
1410,01247
1420,01082
1420,01118
1420,01215
1420,01407
1430,01067
1430,01101
1430,01112
1430,01191
1430,01206
1430,01228
1430,01282
1430,01293
1430,01373
1430,01441
1440,01451
1450,01051
1450,01068
1450,01077
1450,01200
1450,01214
1450,01242
1450,01303
1450,01331
1450,01404
1460,01063
1460,01170
1460,01265
1460,01267
1460,01269
1460,01307
1470,01037
1470,01064
1470,01255
1470,01400
1470,01403
1480,01021
1480,01030
1480,01075
1480,01157
1480,01166
1480,01194
1480,01243
1480,01398
1480,01446
1500,01004
1500,01007
1500,01008
1500,01041
1500,01089
1500,01149
1500,01345
1500,01379
1510,01019
1510,01022
1510,01066
1510,01098
1510,01100
1510,01280
1510,01329
1510,01372
1510,01415
1510,01452
1510,01453
1540,01291
1540,01368
1540,01457
1550,01109
1550,01158
1550,01308
1560,01124
1560,01128
1560,01139
1560,01212
1560,01230
1560,01364
1560,01367
1560,01380
1560,01388
1560,01406
1560,01433
1560,01437
1570,01023
1570,01159
1570,01231
1570,01439
1580,01192
1580,01240
1580,01392
1580,01410
1590,01148
1590,39102
1590,39283
1600,01238
1600,01250
1600,01285
1600,01322
1600,01339
1600,01347
1600,01353
1600,01423
1600,01427
1630,01078
1630,01288
1630,01354
1630,01360
1630,01401
1640,01002
1640,01056
1640,01199
1640,01363
1660,01096
1660,01246
1660,01429
1680,01190
1680,01216
1680,01219
1680,01233
1700,01043
1700,01249
1700,01275
1700,01376
1710,01419
1750,01134
1750,01320
1750,01370
1800,01054
1800,01088
1800,01156
1800,01198
1800,01244
1800,01260
1800,01290
1800,01325
1800,01349
1800,01361
1800,01378
1800,01450
1851,01232
1960,01289
1960,01336
1960,01405
1990,01028
1990,01083
1990,01319
1990,01389
2000,02037
2000,02046
2000,02047
2000,02108
2000,02115
2000,02155
2000,02157
2000,02174
2000,02180
2000,02183
2000,02191
2000,02196
2000,02294
2000,02311
2000,02407
2000,02408
2000,02478
2000,02489
2000,02490
2000,02497
2000,02499
2000,02589
2000,02661
2000,02755
2000,02765
2000,02787
2100,02288
2100,02303
2100,02355
2100,02371
2100,02420
2100,02525
2100,02549
2100,02571
2100,02637
2100,02659
2100,02691
2110,02006
2110,02057
2110,02061
2110,02095
2110,02112
2110,02240
2110,02293
2110,02310
2110,02319
2110,02322
2110,02323
2110,02358
2110,02488
2110,02500
2110,02511
2110,02618
2110,02635
2110,02647
2110,02683
2110,02703
2110,02709
2110,02760
2110,02769
2120,02035
2120,02070
2120,02188
2120,02206
2120,02244
2120,02313
2120,02361
2120,02376
2120,02379
2120,02403
2120,02422
2120,02450
2120,02455
2120,02469
2120,02494
2120,02563
2120,02624
2120,02625
2120,02629
2120,02654
2120,02668
2120,02753
2120,02757
2120,02783
2120,02814
2120,02832
2130,02022
2130,02083
2130,02127
2130,02193
2130,02220
2130,02227
2130,02233
2130,02271
2130,02305
2130,02332
2130,02351
2130,02442
2130,02462
2130,02655
2130,02699
2130,02712
2130,02713
2130,02794
2130,02806
2130,02809
2130,02816
2140,02044
2140,02109
2140,02116
2140,02136
2140,02256
2140,02321
2140,02331
2140,02341
2140,02357
2140,02369
2140,02373
2140,02377
2140,02384
2140,02391
2140,02401
2140,02404
2140,02405
2140,02416
2140,02444
2140,02463
2140,02535
2140,02608
2140,02623
2140,02652
2140,02657
2140,02681
2140,02688
2140,02731
2140,02740
2140,02759
2140,02789
2140,02823
2140,02826
2150,02409
2150,02553
2150,02705
2150,02720
2160,02058
2160,02091
2160,02104
2160,02106
2160,02171
2160,02208
2160,02234
2160,02235
2160,02250
2160,02252
2160,02364
2160,02396
2160,02439
2160,02453
2160,02482
2160,02530
2160,02531
2160,02534
2160,02565
2160,02578
2160,02582
2160,02588
2160,02612
2160,02613
2160,02656
2160,02715
2160,02730
2160,02764
2160,02778
2160,02797
2160,02803
2170,02050
2170,02286
2170,02324
2170,02419
2170,02558
2190,02005
2190,02013
2190,02073
2190,02076
2190,02211
2190,02299
2190,02360
2190,02399
2190,02440
2190,02454
2190,02541
2190,02572
2190,02601
2190,02626
2190,02627
2190,02761
2200,02003
2200,02012
2200,02064
2200,02077
2200,02089
2200,02138
2200,02154
2200,02172
2200,02226
2200,02253
2200,02477
2200,02485
2200,02536
2200,02564
2200,02593
2200,02598
2200,02607
2200,02610
2200,02663
2200,02667
2200,02706
2200,02722
2200,02767
2200,02770
2200,02780
2200,02805
2210,02023
2210,02082
2210,02090
2210,02119
2210,02121
2210,02192
2210,02203
2210,02241
2210,02272
2210,02356
2210,02372
2210,02411
2210,02412
2210,02507
2210,02533
2210,02538
2210,02579
2210,02580
2210,02585
2210,02606
2210,02649
2210,02662
2210,02665
2210,02693
2210,02796
2210,02799
2210,02804
2220,02036
2220,02054
2220,02110
2220,02120
2220,02129
2220,02152
2220,02179
2220,02195
2220,02224
2220,02230
2220,02249
2220,02255
2220,02263
2220,02393
2220,02421
2220,02427
2220,02432
2220,02447
2220,02520
2220,02523
2220,02581
2220,02633
2220,02682
2220,02695
2220,02711
2220,02714
2220,02735
2220,02763
2220,02773
2220,02817
2230,02334
2240,02009
2240,02075
2240,02123
2240,02124
2240,02149
2240,02170
2240,02387
2240,02483
2240,02592
2240,02605
2240,02636
2240,02640
2240,02648
2240,02717
2240,02721
2240,02732
2240,02813
2250,02039
2250,02068
2250,02101
2250,02182
2250,02194
2250,02283
2250,02385
2250,02460
2250,02468
2250,02513
2250,02516
