loyer,surface,loyer_m2,loyer_surface
1330,37,35.945945945945944,1330_37
1400,32,43.75,1400_32
904,26,34.76923076923077,904_26
955,30,31.833333333333332,955_30
2545,70,36.357142857142854,2545_70
970,24,40.416666666666664,970_24
1560,41,38.048780487804876,1560_41
1960,67,29.253731343283583,1960_67
2000,63,31.746031746031747,2000_63
2600,70,37.142857142857146,2600_70
3280,81,40.49382716049383,3280_81
16000,347,46.10951008645533,16000_347
980,26,37.69230769230769,980_26
1250,36,34.72222222222222,1250_36
752,19,39.578947368421055,752_19
815,20,40.75,815_20
1147,25,45.88,1147_25
1500,35,42.857142857142854,1500_35
3587,120,29.891666666666666,3587_120
1355,40,33.875,1355_40
1245,30,41.5,1245_30
1100,25,44.0,1100_25
1120,21,53.333333333333336,1120_21
1225,44,27.84090909090909,1225_44
1250,35,35.714285714285715,1250_35
1280,54,23.703703703703702,1280_54
1114,39,28.564102564102566,1114_39
1290,34,37.94117647058823,1290_34
1300,28,46.42857142857143,1300_28
1300,32,40.625,1300_32
1304,40,32.6,1304_40
1340,42,31.904761904761905,1340_42
1344,31,43.354838709677416,1344_31
1290,33,39.09090909090909,1290_33
1364,39,34.97435897435897,1364_39
1400,47,29.78723404255319,1400_47
1400,33,42.42424242424242,1400_33
1420,37,38.37837837837838,1420_37
1420,42,33.80952380952381,1420_42
1445,46,31.41304347826087,1445_46
1500,37,40.54054054054054,1500_37
1544,46,33.56521739130435,1544_46
1550,42,36.904761904761905,1550_42
1500,49,30.612244897959183,1500_49
1612,48,33.583333333333336,1612_48
1650,50,33.0,1650_50
1533,54,28.38888888888889,1533_54
1663,54,30.796296296296298,1663_54
1584,45,35.2,1584_45
1680,53,31.69811320754717,1680_53
1700,40,42.5,1700_40
1700,35,48.57142857142857,1700_35
1700,40,42.5,1700_40
1700,35,48.57142857142857,1700_35
1700,60,28.333333333333332,1700_60
1600,30,53.333333333333336,1600_30
1700,34,50.0,1700_34
1710,64,26.71875,1710_64
1600,47,34.04255319148936,1600_47
1750,43,40.69767441860465,1750_43
1765,62,28.467741935483872,1765_62
1790,50,35.8,1790_50
1689,53,31.867924528301888,1689_53
1795,50,35.9,1795_50
1800,50,36.0,1800_50
1700,60,28.333333333333332,1700_60
1800,42,42.857142857142854,1800_42
1850,52,35.57692307692308,1850_52
1850,45,41.111111111111114,1850_45
1750,41,42.68292682926829,1750_41
1850,63,29.365079365079364,1850_63
1850,53,34.905660377358494,1850_53
